stim_type	state_marker	cell_population	adj_p_val
PVO4	pBtk_Itk	Mature CD38lo B	8.92E-03
BCR	pCREB	Mature CD38lo B	5.81E-03
PMAiono	pCREB	Mature CD38lo B	9.21E-03
BCR	pH3	Mature CD38lo B	1.25E-02
PMAiono	pH3	Mature CD38lo B	3.68E-03
BCR	pPLCgamma2	Mature CD38lo B	2.91E-02
PMAiono	pS6	Mature CD38lo B	2.42E-02
BCR	pSLP_76	Mature CD38lo B	3.13E-02
PVO4	pSrcFK	Mature CD38lo B	1.47E-02
IFNad	pSTAT3	Mature CD38lo B	2.41E-02
IFNad	pSTAT5	Mature CD38lo B	2.51E-02
PMAiono	pCREB	Mature CD38mid B	2.27E-02
BCR	pCREB	Mature CD38mid B	2.95E-02
BCR	pPLCgamma2	Mature CD38mid B	1.36E-02
PVO4	pPLCgamma2	Mature CD38mid B	4.14E-02
PVO4	pSLP_76	Mature CD38mid B	1.95E-02
IFNad	pSTAT5	Mature CD38mid B	1.62E-02
PVO4	pCrkL	Mature CD4+ T	9.55E-03
PMAiono	pH3	Mature CD4+ T	3.46E-03
PVO4	pMAPKAPK2	Mature CD4+ T	3.59E-02
PVO4	pP38	Mature CD4+ T	1.20E-03
PMAiono	pP38	Mature CD4+ T	1.24E-02
PVO4	pPLCgamma2	Mature CD4+ T	7.71E-05
PMAiono	pS6	Mature CD4+ T	2.42E-04
PVO4	pS6	Mature CD4+ T	2.99E-03
PVO4	pSHP2	Mature CD4+ T	1.75E-02
PVO4	pSLP_76	Mature CD4+ T	1.48E-04
PVO4	pSrcFK	Mature CD4+ T	2.37E-03
PVO4	pSTAT3	Mature CD4+ T	2.97E-02
SCF	pSTAT3	Mature CD4+ T	3.73E-03
IFNad	pSTAT3	Mature CD4+ T	3.82E-03
PVO4	pSTAT5	Mature CD4+ T	1.83E-02
IL7	pSTAT5	Mature CD4+ T	3.38E-03
IFNad	pSTAT5	Mature CD4+ T	9.22E-03
PVO4	pZAP70_Syk	Mature CD4+ T	1.04E-02
